,JPM,BAC,WFC,C,GS,MS,SP500_Return,FedRateChange
2005-01-04,-0.01387062779858685,-0.008530403833117992,-0.0065000952772403,-0.010360282600750836,-0.010791452548666642,0.0008073244550711459,-0.011740004384716105,-0.06000000000000005
2005-01-05,-0.011635140404307244,0.012458362808566267,-0.004517877865778753,0.002080436604459373,-0.005803779695687043,0.0011297340267051586,-0.0036344391932794083,0.0
2005-01-06,-0.001546688429755032,0.00965267443166759,0.013683172649407488,0.005699756253338705,0.023370177490206423,0.0035403120225411242,0.003499726889387917,0.0
2005-01-07,-0.010895007131947104,-0.0057394738071647935,-0.004286039527967524,-0.008040725158785116,-0.0039168965954935854,-0.0012865368396787632,-0.0014321956835941646,-0.009999999999999787
2005-01-10,0.012441695561702236,-0.006392323500349018,0.0019072083041241246,-0.0033915477503736113,-0.00017865529045220542,-0.0006427882476347269,0.0034169283837069677,0.019999999999999574
2005-01-11,-0.0024315373674673882,-0.002485489405379057,-0.0077460559116994745,-0.009714658826832995,-0.01076215967426231,-0.00193371669554954,-0.0061182454723810965,-0.019999999999999574
2005-01-12,-0.0026594575938522803,-0.0031157030100192875,-0.008677407230458031,0.002372165474514003,0.0018107361348765679,-0.013476187919098489,0.003973499066449697,0.009999999999999787
2005-01-13,-0.012505939520165973,-0.009825183775562267,-0.003199701494919429,-0.005808709100330107,0.003971765293113112,-0.008864810086181136,-0.008667580994090578,0.040000000000000036
2005-01-14,0.00872619217270145,-0.0018925095697687416,0.01235767941230599,0.0010587375992896107,0.010217893792826734,0.0008241124986248425,0.005986604031937076,0.0
2005-01-18,0.01853913072426757,0.013795769991460104,0.0074559155238038,0.01548401260373306,0.0067542982804683835,0.012607824124772172,0.009628270925436201,0.020000000000000018
2005-01-19,-0.016758458585272293,-0.0027021778865033716,-0.008992401367694414,-0.014690782211069616,-0.018234343416714965,-0.007513228021251037,-0.009535422983762518,-0.1200000000000001
2005-01-20,0.007531821330317112,-0.005636269000772398,-0.006362898291845586,-0.01571443846216339,-0.010518683220137054,-0.007569312983334353,-0.007813441684863667,0.06000000000000005
2005-01-21,-0.0048674554035537995,0.003343458559338094,0.0017435121537714455,-0.010796513750318258,-0.006768473318169602,-0.006961078789774442,-0.006435479320456572,0.009999999999999787
2005-01-24,0.002879015813270575,0.008931701236778345,-0.0008713760976050019,0.0008138866492248927,-0.00755390425522416,-0.0028324817406718125,-0.0035340230516199287,0.0
2005-01-25,0.008148801733804004,0.0030967418993638495,-0.003687309697657347,-0.0005424874303594572,0.006084334152355493,0.006318567784639075,0.003996329851615026,0.03000000000000025
2005-01-26,0.0039406867665724345,-0.0006181326480507485,0.0038808896176804053,-0.000814779757502593,-0.004236859422788056,0.008911061186952852,0.004832419632938723,0.040000000000000036
2005-01-27,-0.00525797577117253,0.0016484902645010268,0.007140905352574021,-0.002173856445434556,-0.00778315905721033,-0.007255168698268294,0.00040883799571498974,0.06000000000000005
2005-01-28,0.0037274537088395035,-0.0037137756295520245,0.020179393464598686,0.006779343506452666,0.011468165422213654,0.0014887652591618762,-0.002719682678708843,0.08999999999999986
2005-01-31,0.014554448966092513,0.013754242089319295,0.016171132935582214,0.008879649881536816,0.02882483768265176,0.012805787608533658,0.008424693022826934,0.020000000000000018
2005-02-01,0.00666310753363796,0.008727537737932285,0.005086904093803811,0.004543672320914689,0.02279077773701703,0.008123564692671798,0.006867267158630261,-0.10000000000000009
2005-02-02,0.0010706649989087615,0.004034667463611292,0.0017511263987159188,0.0005330542258308648,-0.0031491115699505594,-0.00884518420695276,0.0031729290996995304,-0.10999999999999988
2005-02-03,-0.007087073415778866,-0.001830162458894549,0.0013800348509227026,-0.0034707870472850057,0.0019256281940825508,0.004432371732052866,-0.002769465505019701,0.20000000000000018
2005-02-04,0.010504867140983051,0.012736425494485563,0.01170263882387047,0.007991414571168299,0.025894629327256103,-0.0011476442089600506,0.01098252050319909,0.019999999999999574
2005-02-07,-0.0053458823180533325,-0.0010046671444056863,-0.003916062911974668,0.0074016000416670434,-0.01044983726623549,0.007189706080603817,-0.0010895591835757032,-0.009999999999999787
2005-02-08,0.005345882318053494,-0.005040315912200862,0.017727017866020753,-0.005545969694086323,0.009085338582647533,0.00032584101921509035,0.00048259010452929307,-0.020000000000000018
2005-02-09,-0.009643405135791396,-0.006080849864866442,-0.0008971350740723129,-0.0069093120972947945,-0.007364764788652064,-0.008663952543589863,-0.008612258457473676,0.020000000000000018
2005-02-10,0.010496454434970957,-0.004075040756320721,0.011774329035487726,-0.0013345457547054474,0.011961771176157718,-0.007911584809565593,0.004202617764653276,0.009999999999999787
2005-02-11,-0.0023473127101940458,0.008538617726517648,0.0,0.0008010298470319051,0.024332066540098733,-0.002153309091422453,0.006901750205170698,-0.009999999999999787
2005-02-14,0.00234731271019393,-0.0030408733676615014,-0.0071191967258999594,0.0005335159076735955,-0.0008288655947816399,0.016610972937945515,0.0006966508245472663,0.009999999999999787
2005-02-15,0.002765902794480025,0.0030408733676615674,0.006587341360991686,0.001332058904460507,-0.004490221843652437,-0.0001631418849031587,0.003294334262127831,0.020000000000000018
2005-02-16,-0.006181299580571817,-0.004463576970196975,-0.003911852327670312,-0.005875731225375256,-0.004510354313182731,-0.008848415581825303,0.00018175942364727842,-0.04999999999999982
2005-02-17,-0.008804856157322098,-0.0077566991247881275,-0.014986557218026345,-0.014843525770158624,-0.0020112981556374148,-0.005942517356681188,-0.007954922070865405,0.020000000000000018
